2020-10-28 10:03:27,071 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2020-10-28 20:30:01,847 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2020-10-28 20:30:03,246 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Updating Gradle version information cache failed. Using outdated cache.
2020-10-30 11:19:09,151 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2020-10-30 11:19:09,700 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Updating Gradle version information cache failed. Using outdated cache.
2020-10-30 12:15:44,599 [Worker-33: Creating project "springs"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: regnant:springs:0.0.1-SNAPSHOT @ E:\adv\springs\pom.xml.
2020-10-30 12:15:46,273 [Worker-33: Creating project "springs"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /springs/src/main/java
2020-10-30 12:15:46,275 [Worker-33: Creating project "springs"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /springs/src/main/resources
2020-10-30 12:15:46,275 [Worker-33: Creating project "springs"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /springs/src/test/java
2020-10-30 12:15:46,276 [Worker-33: Creating project "springs"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /springs/src/test/resources
2020-10-30 12:15:47,022 [Worker-33: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-10-30 12:15:47,050 [Worker-33: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-10-30 12:15:47,052 [Worker-33: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-10-30 12:15:47,066 [Worker-33: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-10-30 12:18:11,089 [Worker-33: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: regnant:springs:0.0.1-SNAPSHOT @ E:\adv\springs\pom.xml.
2020-10-30 12:18:12,396 [Worker-33: Building workspace] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-orm/5.0.8.RELEASE/spring-orm-5.0.8.RELEASE.pom
2020-10-30 12:18:12,616 [Worker-33: Building workspace] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-orm/5.0.8.RELEASE/spring-orm-5.0.8.RELEASE.pom
